transaction_cost_bps,slippage_bps,annual_borrow_cost,total_return,annualized_return,sharpe_ratio,maximum_drawdown,final_equity,total_cost,number_of_trades,is_baseline
0.0,0.0,0.0,0.03224802170222052,0.016870774569235136,0.2971534329658532,-0.0908702274014993,103224.80217022204,0.0,0,False
0.0,0.0,0.02,0.020854568065244328,0.011498730760799658,0.20305992403273232,-0.09808843333670758,102085.45680652444,1162.8465684997318,0,False
0.0,0.0,0.05,0.003998773216823848,0.003493621283239934,0.061930766373725674,-0.10880907626118919,100399.87732168238,2883.288475413211,0,False
0.0,0.0,0.1,-0.023480535788478196,-0.009708241849975763,-0.1731547266579713,-0.12639607698854338,97651.94642115218,5688.2996076191575,0,False
0.0,2.0,0.0,0.02627827346429079,0.014059954780132111,0.24797946263596887,-0.09450498015726905,102627.82734642908,608.3709378214832,0,False
0.0,2.0,0.02,0.014950582567088366,0.008702701609528685,0.15389114897075865,-0.10169440798947016,101495.05825670883,1764.5244683419492,0,False
0.0,2.0,0.05,-0.0018079184016610572,0.0007196328643634953,0.012773961899084744,-0.11237230783236607,99819.2081598339,3475.0637675819626,0,False
0.0,2.0,0.1,-0.029128606321032757,-0.012445879618175781,-0.22228046895901604,-0.12988918626231216,97087.13936789673,6263.92914967797,0,False
0.0,5.0,0.0,0.01738610868747026,0.009858228864743301,0.17417053119733286,-0.0999312346462291,101738.61086874703,1514.5648597865252,0,False
0.0,5.0,0.02,0.0061563752102955505,0.004523085634089652,0.08011929557888506,-0.10707769961183844,100615.63752102955,2660.748581273261,0,False
0.0,5.0,0.05,-0.010457200901916042,-0.0034270352940282134,-0.060936029596506305,-0.11769178826230231,98954.27990980839,4356.5371648086275,0,False
0.0,5.0,0.1,-0.03754161361861175,-0.016538208637908225,-0.2958708416916334,-0.13510398106129318,96245.83863813883,7121.352180486083,0,False
0.0,10.0,0.0,0.0027308958638543324,0.0028938525025503647,0.051231014993075794,-0.10890640640204419,100273.08958638542,3008.0731775076983,0,False
0.0,10.0,0.02,-0.008337390050027205,-0.0024046426174952895,-0.04268070975172874,-0.11598180810360703,99166.26099499728,4137.8248837133215,0,False
0.0,10.0,0.05,-0.02471210975068383,-0.010300151227939147,-0.1835164696025857,-0.12649034907966195,97528.78902493161,5809.301671734519,0,False
0.0,10.0,0.1,-0.05140710811176108,-0.023321255308109246,-0.41805835080305753,-0.14372938540369318,94859.2891888239,8534.477425279238,0,False
5.0,0.0,0.0,0.01738610868747026,0.009858228864743301,0.17417053119733286,-0.0999312346462291,101738.61086874703,1514.5648597865252,0,False
5.0,0.0,0.02,0.0061563752102955505,0.004523085634089652,0.08011929557888506,-0.10707769961183844,100615.63752102955,2660.748581273261,0,False
5.0,0.0,0.05,-0.010457200901916042,-0.0034270352940282134,-0.060936029596506305,-0.11769178826230231,98954.27990980839,4356.5371648086275,0,False
5.0,0.0,0.1,-0.03754161361861175,-0.016538208637908225,-0.2958708416916334,-0.13510398106129318,96245.83863813883,7121.352180486083,0,False
5.0,2.0,0.0,0.011499375659519195,0.007066716505047754,0.12496820276878706,-0.10353156030023036,101149.93756595193,2114.4790908671694,0,False
5.0,2.0,0.02,0.0003344922060786182,0.001746262718081315,0.030961155488736965,-0.11064951897651665,100033.44922060787,3254.0624803139376,0,True
5.0,2.0,0.05,-0.016183140397268425,-0.006181968279130756,-0.1100237474199627,-0.12122126827171331,98381.68596027316,4940.085619569966,0,False
5.0,2.0,0.1,-0.04311113367253139,-0.019257039691914724,-0.34483030310429236,-0.13856400113723966,95688.88663274686,7688.978527352976,0,False
5.0,5.0,0.0,0.0027308958638547765,0.0028938525025503647,0.05123101499308327,-0.10890640640204374,100273.08958638548,3008.0731775076993,0,False
5.0,5.0,0.02,-0.008337390050027205,-0.0024046426174952895,-0.04268070975173343,-0.11598180810360692,99166.26099499728,4137.8248837133215,0,False
5.0,5.0,0.05,-0.02471210975068383,-0.010300151227939147,-0.18351646960258577,-0.12649034907966206,97528.78902493161,5809.301671734518,0,False
5.0,5.0,0.1,-0.051407108111760635,-0.023321255308109246,-0.41805835080304915,-0.14372938540369273,94859.28918882394,8534.477425279241,0,False
5.0,10.0,0.0,-0.011720390269802539,-0.004022684084459716,-0.07128658753833406,-0.11779651338163455,98827.96097301974,4480.807075979174,0,False
5.0,10.0,0.02,-0.022629470782717154,-0.009284781840681156,-0.1649628564147184,-0.12480152345669726,97737.05292172829,5594.354509673296,0,False
5.0,10.0,0.05,-0.038768651367623974,-0.017126051801211073,-0.30543535062018873,-0.1352055143448555,96123.1348632376,7241.856459674732,0,False
5.0,10.0,0.1,-0.06507964388788956,-0.030057702914404127,-0.5393456809909613,-0.1522730308595548,93492.03561121105,9927.942353365059,0,False
10.0,0.0,0.0,0.0027308958638543324,0.0028938525025503647,0.051231014993075794,-0.10890640640204419,100273.08958638542,3008.0731775076983,0,False
10.0,0.0,0.02,-0.008337390050027205,-0.0024046426174952895,-0.04268070975172874,-0.11598180810360703,99166.26099499728,4137.8248837133215,0,False
10.0,0.0,0.05,-0.02471210975068383,-0.010300151227939147,-0.1835164696025857,-0.12649034907966195,97528.78902493161,5809.301671734519,0,False
10.0,0.0,0.1,-0.05140710811176108,-0.023321255308109246,-0.41805835080305753,-0.14372938540369318,94859.2891888239,8534.477425279238,0,False
