ticker_y,ticker_x,overlapping_observations,overlap_start,overlap_end,overlap_fraction
SEB-A.ST,SHB-A.ST,1759,2018-01-02,2024-12-30,1.0
SEB-A.ST,AZN.ST,1759,2018-01-02,2024-12-30,1.0
SEB-A.ST,ERIC-B.ST,1759,2018-01-02,2024-12-30,1.0
SEB-A.ST,SAND.ST,1759,2018-01-02,2024-12-30,1.0
SHB-A.ST,AZN.ST,1759,2018-01-02,2024-12-30,1.0
SHB-A.ST,ERIC-B.ST,1759,2018-01-02,2024-12-30,1.0
SHB-A.ST,SAND.ST,1759,2018-01-02,2024-12-30,1.0
AZN.ST,ERIC-B.ST,1759,2018-01-02,2024-12-30,1.0
AZN.ST,SAND.ST,1759,2018-01-02,2024-12-30,1.0
ERIC-B.ST,SAND.ST,1759,2018-01-02,2024-12-30,1.0
