rank,alpha,hedge_ratio,cointegration_statistic,cointegration_pvalue,adf_statistic,adf_pvalue,half_life,return_correlation,n_observations,passes_filters,rejection_reason,ticker_y,ticker_x,score,train_period
1,-8.481554420509209,0.6881125797056253,-3.8932867526049124,0.010132984055350321,-3.8923709268657474,0.0020917158185204078,34.601011745522094,0.5937331048413217,2117,True,,SEB-A.ST,DNB.OL,9.131032717863313,training
2,118.46337458540103,0.04998984372393969,-3.7018029202631295,0.018227836848145447,-3.70103214601213,0.004098659482813571,58.165178483365004,0.1336265447525018,2115,True,,MOWI.OL,DSV.CO,8.56253968073083,training
3,128.64434228625584,0.005109485033671269,-3.707998162771158,0.017896038961545686,-3.7074927111401905,0.004008988346989765,54.68657361500956,0.1405496241649627,2115,True,,MOWI.OL,MAERSK-B.CO,8.553317108925638,training
4,-109.73959500833166,2.1877300558788035,-3.671403045795133,0.019935059923941643,-3.6703340538526255,0.00455031953079393,52.22605877162591,0.6379551250211829,2139,True,,INDU-C.ST,SKF-B.ST,8.403983602046466,training
5,148.642266913396,1.7891915728745258,-3.545564001265522,0.02856439163910562,-3.5455468229467355,0.006891566606791186,74.87125042223968,0.18669509432936965,2116,True,,MOWI.OL,WRT1V.HE,8.114744588287357,training
6,15.584711634878865,4.2966394129970205,-3.5746438176282345,0.026327543337889288,-3.573727763503563,0.006283622825160303,54.33373502535131,0.2323819837561207,2132,True,,ERIC-B.ST,FORTUM.HE,8.036306568884584,training
7,48.72854276157197,3.8281098589204112,-3.5666398226870686,0.02692768844017042,-3.5657809731531076,0.006449946184929761,57.79296074793319,0.2478872960208704,2099,True,,VWS.CO,NESTE.HE,8.006975368723127,training
8,152.74285542485586,5.591628455570621,-3.4720239010490492,0.03495730508212459,-3.471528962045317,0.00874911470151738,86.54369357077769,0.19164223136267214,2116,True,,MOWI.OL,OUT1V.HE,7.952396935922707,training
9,2.063267504012323,0.33744488863463773,-3.4469022762323864,0.03740169111469382,-3.4463451133842797,0.009476848905558284,84.71632320962316,0.30397118546324836,2140,True,,OUT1V.HE,NOKIA.HE,7.864716797060522,training
10,145.24508403755317,-0.384714609602993,-3.485696256843268,0.0336846239911675,-3.4849799486776725,0.008381324546403893,66.17070542712791,0.161851415330379,2117,True,,HEXA-B.ST,TGS.OL,7.800530988516801,training
11,123.44919808758266,3.7971138960166693,-3.4609827142202754,0.03601449822848529,-3.4606131496569494,0.009058159277312074,68.58652704858528,0.1879401175263091,2116,True,,MOWI.OL,KEMIRA.HE,7.731870580725175,training
12,62.62733840450437,1.5885294895950959,-3.4825812412064256,0.033971078797238936,-3.48164618037344,0.008471161741432356,59.23207449530249,0.11384585129112001,2117,True,,SKF-B.ST,ORK.OL,7.719159093604973,training
13,87.2384459371918,0.5484854488348967,-3.4782735218853915,0.034370608774393914,-3.4774375540643105,0.008585808718830584,55.492468530009916,0.41347937072806057,2117,True,,SKF-B.ST,DNB.OL,7.665769027602159,training
14,109.65449749283582,9.996409740395626,-3.422198114040081,0.0399440813977968,-3.4219149760367533,0.010234095617013791,69.95293975348066,0.2550226719850503,2116,True,,MOWI.OL,SAMPO.HE,7.60257505110722,training
15,288.82081193002034,0.09215202952905668,-3.41065696266074,0.04118052162779856,-3.4125499961521824,0.010538411007027761,65.62794597775331,0.43007472568324434,2127,True,,DSV.CO,MAERSK-B.CO,7.531120640366206,training
16,108.03979759194928,4.984240408607974,-3.3884885516205423,0.04364522338411049,-3.3880733999061543,0.011372230361259002,69.06454891579551,0.16178980197678183,2116,True,,MOWI.OL,FORTUM.HE,7.470926399454912,training
