data_segment,lookback_window,entry_threshold,exit_threshold,stop_threshold,total_return,annualized_return,sharpe_ratio,maximum_drawdown,number_of_trades,total_cost
test,20,1.5,0.0,3.0,0.3465080992166214,0.15864757891722303,1.4203629234240416,-0.0610882392648614,31,6431.874776734989
test,20,1.5,0.0,3.5,0.3465080992166214,0.15864757891722303,1.4203629234240416,-0.0610882392648614,31,6431.874776734989
test,20,1.5,0.0,4.0,0.3465080992166214,0.15864757891722303,1.4203629234240416,-0.0610882392648614,31,6431.874776734989
test,20,1.5,0.5,3.0,0.27201780211340876,0.12651473992879514,1.2705918970045222,-0.056776872540441614,36,6909.9553639588075
test,20,1.5,0.5,3.5,0.25707035408303947,0.12022751486498251,1.2047914995118256,-0.056776872540441614,35,6733.202213141087
test,20,1.5,0.5,4.0,0.25707035408303947,0.12022751486498251,1.2047914995118256,-0.056776872540441614,35,6733.202213141087
test,20,1.5,1.0,3.0,0.2424380652644147,0.11349029518344933,1.2025733651123929,-0.0397357634487856,44,7787.643502316725
test,20,1.5,1.0,3.5,0.2278382079505965,0.10727547524652215,1.1336781778348461,-0.0397357634487856,43,7614.10772206972
test,20,1.5,1.0,4.0,0.2278382079505965,0.10727547524652215,1.1336781778348461,-0.0397357634487856,43,7614.10772206972
test,20,2.0,0.0,3.0,0.1668798372578575,0.08061565358745515,0.8734437154644593,-0.07865559111488651,23,4555.073289617111
test,20,2.0,0.0,3.5,0.16527614330742968,0.07990565298544716,0.8661308504750357,-0.07992183499674299,22,4411.0992805668375
test,20,2.0,0.0,4.0,0.16527614330742968,0.07990565298544716,0.8661308504750357,-0.07992183499674299,22,4411.0992805668375
test,20,2.0,0.5,3.0,0.10806743341137115,0.053282519031536024,0.6716511947201668,-0.06794725152206416,25,4614.9681098495375
test,20,2.0,0.5,3.5,0.09354159154820163,0.04671418501729763,0.5865809417498486,-0.0692282123429544,23,4316.048339838628
test,20,2.0,0.5,4.0,0.09354159154820163,0.04671418501729763,0.5865809417498486,-0.0692282123429544,23,4316.048339838628
test,20,2.0,1.0,3.0,0.14463023308080825,0.06930408344231243,0.9311972900263878,-0.031533631416519214,29,5046.877246430725
