ticker_y,ticker_x,n_windows,average_test_return,median_test_return,average_test_sharpe_ratio,median_test_sharpe_ratio,profitable_window_fraction,worst_window_return,worst_maximum_drawdown,total_number_of_entries,consistency_score
NESTE.HE,WRT1V.HE,1,0.030936153963242896,0.030936153963242896,2.0325224576824747,2.0325224576824747,1.0,0.030936153963242896,0.0,1,1.0
SAND.ST,OUT1V.HE,1,0.03089058570771619,0.03089058570771619,1.8217981790087536,1.8217981790087536,1.0,0.03089058570771619,-0.003112799348646611,1,0.9729344967305643
HEXA-B.ST,VWS.CO,1,0.0036111797644815535,0.0036111797644815535,0.30200857060114666,0.30200857060114666,1.0,0.0036111797644815535,-0.01900713484736216,1,0.5615777518009227
EQNR.OL,NOKIA.HE,1,0.003510119132622558,0.003510119132622558,0.18344826974397313,0.18344826974397313,1.0,0.003510119132622558,-0.03566883744810534,1,0.5420127373421786
EQNR.OL,KEMIRA.HE,1,0.0018412636771600877,0.0018412636771600877,0.15667740083324438,0.15667740083324438,1.0,0.0018412636771600877,-0.01916638628990086,1,0.5293592492953781
NOVO-B.CO,NOKIA.HE,2,0.0008597696411308808,0.0008597696411308808,0.21377766418799965,0.21377766418799965,0.5,0.0,-0.004852708742601797,2,0.4070293836779556
SEB-A.ST,NESTE.HE,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25
HEXA-B.ST,EQNR.OL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
ORK.OL,MAERSK-B.CO,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
MAERSK-B.CO,SAMPO.HE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
DSV.CO,WRT1V.HE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
OUT1V.HE,KNEBV.HE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
DNB.OL,WRT1V.HE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
SAND.ST,KEMIRA.HE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
DNB.OL,NESTE.HE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
ERIC-B.ST,FORTUM.HE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
NOVO-B.CO,NESTE.HE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
SAND.ST,MOWI.OL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
ERIC-B.ST,EQNR.OL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
EQNR.OL,KNEBV.HE,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
SAMPO.HE,KEMIRA.HE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
SAMPO.HE,FORTUM.HE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25
